,Date,Platform Name,Campaign Name,Objective,Impressions,Clicks,Costs (USD),Purchase,Revenue (USD),Reach
37,01/01/2020,Google Ads,Campaign 513,Conversions,9317.3,4412.55,142.048,125.7944716,4809.091893,2700
38,01/01/2020,Google Ads,Campaign 514,Video Views,1841.15,800.4,18.9865,34.2734799,1509.788367,533
39,01/01/2020,Google Ads,Campaign 521,Conversions,8.05,1.15,0.0345,0,0,2
40,01/01/2020,Google Ads,Campaign 522,Conversions,44.85,1.15,0.161,0,0,13
41,01/01/2020,Google Ads,Campaign 523,Conversions,106.95,16.1,5.9915,0,0,31
42,01/01/2020,Google Ads,Campaign 525,Video Views,1549.05,216.2,28.428,1.15,81.38594715,449
43,01/01/2020,Google Ads,Campaign 526,Conversions,105.8,2.3,0.368,0,0,30
44,01/01/2020,Google Ads,Campaign 599,Conversions,13.8,0,0,0,0,4
45,01/01/2020,Google Ads,Campaign 600,Video Views,31.05,3.45,0.0805,0,0,9
46,01/01/2020,Google Ads,Campaign 601,Conversions,11.5,0,0,0,0,3
47,01/01/2020,Google Ads,Campaign 602,Conversions,164.45,13.8,2.967,2.3,180.7468766,47
48,01/01/2020,Google Ads,Campaign 603,Reach,11.5,2.3,0.391,0,0,3
49,01/01/2020,Google Ads,Campaign 606,Video Views,36.8,3.45,0.3335,0,0,10
50,01/01/2020,Google Ads,Campaign 607,Reach,17.25,0,0,0,0,5
51,01/01/2020,Google Ads,Campaign 604,Video Views,497.95,77.05,2.645,1.15,66.73746175,144
52,01/01/2020,Google Ads,Campaign 608,Video Views,90.85,12.65,1.4835,0,0,26
53,01/01/2020,Google Ads,Campaign 609,Conversions,35.65,3.45,0.276,0,0,10
54,01/01/2020,Google Ads,Campaign 610,Reach,427.8,43.7,3.8065,0,0,124
55,01/01/2020,Google Ads,Campaign 611,Engagements,10.35,0,0,0,0,3
56,01/01/2020,Google Ads,Campaign 617,Conversions,179.4,11.5,3.174,0,0,52
57,01/01/2020,Google Ads,Campaign 618,Conversions,18.4,0,0,0,0,5
58,01/01/2020,Google Ads,Campaign 619,Video Views,462.3,40.25,1.748,0.16121275,3.338931131,134
59,02/01/2020,Google Ads,Campaign 503,Reach,264.5,33.35,1.0925,0,0,76
60,02/01/2020,Google Ads,Campaign 504,Conversions,37.95,3.45,0.3565,0,0,11
61,02/01/2020,Google Ads,Campaign 505,Video Views,117.3,11.5,0.4255,0,0,34
62,02/01/2020,Google Ads,Campaign 506,Conversions,49.45,1.15,0.023,0,0,14
63,02/01/2020,Google Ads,Campaign 507,Conversions,9103.4,4551.7,96.4045,149.9008992,6015.326326,2638
64,02/01/2020,Google Ads,Campaign 557,Conversions,128.8,14.95,2.3575,0,0,37
65,02/01/2020,Google Ads,Campaign 558,Conversions,234.6,11.5,0.644,0,0,68
66,02/01/2020,Google Ads,Campaign 559,Conversions,17.25,1.15,0.2875,0,0,5
67,02/01/2020,Google Ads,Campaign 560,Conversions,37.95,4.6,0.391,0,0,11
68,02/01/2020,Google Ads,Campaign 566,Conversions,29.9,2.3,0.7475,0,0,8
69,02/01/2020,Google Ads,Campaign 567,Conversions,40.25,3.45,0.6555,0,0,11
70,02/01/2020,Google Ads,Campaign 561,Conversions,69,4.6,0.897,0,0,20
71,02/01/2020,Google Ads,Campaign 568,Engagements,136.85,8.05,1.8975,0,0,39
72,02/01/2020,Google Ads,Campaign 562,Conversions,93.15,3.45,0.4025,0,0,27
73,02/01/2020,Google Ads,Campaign 563,Conversions,135.7,1.15,0.2875,0,0,39
74,02/01/2020,Google Ads,Campaign 564,Conversions,12.65,0,0,0,0,3
75,02/01/2020,Google Ads,Campaign 565,Conversions,70.15,3.45,0.322,0,0,20
76,02/01/2020,Google Ads,Campaign 569,Reach,391,40.25,3.9905,0,0,113
77,02/01/2020,Google Ads,Campaign 570,Conversions,46,1.15,0.2875,0,0,13
78,02/01/2020,Google Ads,Campaign 571,Conversions,787.75,96.6,3.4615,3.2819367,24.75520134,228
79,02/01/2020,Google Ads,Campaign 572,Conversions,64.4,6.9,0.7245,0,0,18
80,02/01/2020,Google Ads,Campaign 573,Conversions,141.45,16.1,0.2875,0,0,41
81,02/01/2020,Google Ads,Campaign 574,Conversions,149.5,9.2,2.8175,0,0,43
82,02/01/2020,Google Ads,Campaign 579,Conversions,363.4,59.8,6.9,0,0,105
83,02/01/2020,Google Ads,Campaign 580,Reach,36.8,1.15,0.0115,0,0,10
84,02/01/2020,Google Ads,Campaign 555,Conversions,179.4,33.35,3.6685,0,0,52
85,02/01/2020,Google Ads,Campaign 556,Conversions,134.55,10.35,0.736,0,0,39
86,02/01/2020,Google Ads,Campaign 581,Video Views,293.25,20.7,0.989,0,0,85
87,02/01/2020,Google Ads,Campaign 582,Reach,86.25,6.9,0.7245,0,0,25
88,02/01/2020,Google Ads,Campaign 585,Engagements,12.65,1.15,0.0805,0,0,3
89,02/01/2020,Google Ads,Campaign 586,Conversions,100.05,2.3,0.23,0,0,29
90,02/01/2020,Google Ads,Campaign 587,Conversions,16.1,2.3,0.0575,0,0,4
91,02/01/2020,Google Ads,Campaign 589,Conversions,16555.4,4623,562.0395,57.9679235,2453.381261,4798
92,02/01/2020,Google Ads,Campaign 593,Video Views,51.75,0,0,0,0,15
93,02/01/2020,Google Ads,Campaign 594,Engagements,41.4,1.15,0.023,0,0,12
94,02/01/2020,Google Ads,Campaign 595,Conversions,204.7,18.4,1.8975,0,0,59
95,02/01/2020,Google Ads,Campaign 596,Conversions,29.9,1.15,0.0345,0,0,8
96,02/01/2020,Google Ads,Campaign 513,Conversions,10506.4,4890.95,142.5425,142.7733936,6205.740688,3045
97,02/01/2020,Google Ads,Campaign 514,Video Views,1815.85,778.55,22.6205,17.28442755,900.8199198,526
98,02/01/2020,Google Ads,Campaign 521,Conversions,12.65,0,0,0,0,3
99,02/01/2020,Google Ads,Campaign 522,Conversions,75.9,3.45,0.437,0,0,22
100,02/01/2020,Google Ads,Campaign 523,Conversions,89.7,12.65,5.175,0,0,26
101,02/01/2020,Google Ads,Campaign 525,Video Views,1616.9,251.85,43.194,1.06596835,64.7860762,468
102,02/01/2020,Google Ads,Campaign 526,Conversions,97.75,2.3,0.3335,0,0,28
103,02/01/2020,Google Ads,Campaign 599,Conversions,16.1,0,0,0,0,4
104,02/01/2020,Google Ads,Campaign 600,Video Views,25.3,3.45,0.552,0.1624789,5.275063978,7
105,02/01/2020,Google Ads,Campaign 601,Conversions,2.3,0,0,0,0,0
106,02/01/2020,Google Ads,Campaign 602,Conversions,203.55,17.25,5.4395,0,0,59
107,02/01/2020,Google Ads,Campaign 603,Reach,21.85,2.3,0.391,0,0,6
108,02/01/2020,Google Ads,Campaign 606,Video Views,52.9,3.45,0.5865,0,0,15
109,02/01/2020,Google Ads,Campaign 607,Reach,17.25,0,0,0,0,5
110,02/01/2020,Google Ads,Campaign 604,Video Views,487.6,59.8,3.0935,1.2645814,33.53334247,141
111,02/01/2020,Google Ads,Campaign 608,Video Views,102.35,10.35,1.1615,0,0,29
112,02/01/2020,Google Ads,Campaign 609,Conversions,28.75,3.45,0.4715,0,0,8
113,02/01/2020,Google Ads,Campaign 610,Reach,511.75,44.85,4.163,0,0,148
114,02/01/2020,Google Ads,Campaign 611,Engagements,24.15,3.45,0.207,0,0,7
115,02/01/2020,Google Ads,Campaign 617,Conversions,181.7,9.2,1.3685,0,0,52
116,02/01/2020,Google Ads,Campaign 618,Conversions,23,0,0,0,0,6
117,02/01/2020,Google Ads,Campaign 619,Video Views,554.3,60.95,2.691,0,0,160
118,03/01/2020,Google Ads,Campaign 503,Reach,241.5,27.6,1.0925,0,0,70
119,03/01/2020,Google Ads,Campaign 504,Conversions,52.9,5.75,0.874,0,0,15
120,03/01/2020,Google Ads,Campaign 505,Video Views,109.25,10.35,0.3795,0,0,31
121,03/01/2020,Google Ads,Campaign 506,Conversions,87.4,6.9,0.529,0,0,25
122,03/01/2020,Google Ads,Campaign 507,Conversions,8511.15,4174.5,91.4135,121.0045387,4889.143376,2467
123,03/01/2020,Google Ads,Campaign 557,Conversions,148.35,21.85,2.8175,0,0,43
124,03/01/2020,Google Ads,Campaign 558,Conversions,238.05,16.1,0.9775,0,0,69
125,03/01/2020,Google Ads,Campaign 559,Conversions,23,0,0,0,0,6
126,03/01/2020,Google Ads,Campaign 560,Conversions,44.85,2.3,0.1725,0,0,13
127,03/01/2020,Google Ads,Campaign 566,Conversions,46,2.3,0.713,0,0,13
128,03/01/2020,Google Ads,Campaign 567,Conversions,37.95,2.3,0.115,0,0,11
129,03/01/2020,Google Ads,Campaign 561,Conversions,74.75,3.45,1.3685,0,0,21
130,03/01/2020,Google Ads,Campaign 568,Engagements,131.1,9.2,1.5065,0,0,38
131,03/01/2020,Google Ads,Campaign 562,Conversions,86.25,2.3,0.322,0,0,25
132,03/01/2020,Google Ads,Campaign 563,Conversions,113.85,3.45,0.437,0,0,33
133,03/01/2020,Google Ads,Campaign 564,Conversions,23,0,0,0,0,6
134,03/01/2020,Google Ads,Campaign 565,Conversions,56.35,1.15,0.023,0,0,16
135,03/01/2020,Google Ads,Campaign 569,Reach,394.45,29.9,3.151,0,0,114
136,03/01/2020,Google Ads,Campaign 570,Conversions,32.2,1.15,0.0115,0,0,9
137,03/01/2020,Google Ads,Campaign 571,Conversions,753.25,100.05,3.933,1.9441049,6.374427946,218
138,03/01/2020,Google Ads,Campaign 572,Conversions,64.4,6.9,0.667,0,0,18
139,03/01/2020,Google Ads,Campaign 573,Conversions,159.85,12.65,0.1955,0,0,46
140,03/01/2020,Google Ads,Campaign 574,Conversions,154.1,13.8,5.152,0,0,44
141,03/01/2020,Google Ads,Campaign 579,Conversions,368,51.75,4.577,0,0,106
142,03/01/2020,Google Ads,Campaign 580,Reach,69,6.9,0.4025,0,0,20
143,03/01/2020,Google Ads,Campaign 555,Conversions,225.4,40.25,5.1865,0.0775583,3.514909576,65
144,03/01/2020,Google Ads,Campaign 556,Conversions,95.45,11.5,0.9545,0,0,27
145,03/01/2020,Google Ads,Campaign 581,Video Views,250.7,27.6,1.8515,0,0,72
146,03/01/2020,Google Ads,Campaign 582,Reach,79.35,2.3,0.23,0,0,23
147,03/01/2020,Google Ads,Campaign 585,Engagements,10.35,0,0,0,0,3
148,03/01/2020,Google Ads,Campaign 586,Conversions,80.5,5.75,0.483,0,0,23
149,03/01/2020,Google Ads,Campaign 587,Conversions,24.15,1.15,0.0805,0,0,7
150,03/01/2020,Google Ads,Campaign 589,Conversions,15995.35,4217.05,625.646,54.54744055,2695.805177,4636
151,03/01/2020,Google Ads,Campaign 593,Video Views,43.7,3.45,0.943,0,0,12
152,03/01/2020,Google Ads,Campaign 594,Engagements,32.2,1.15,0.023,0,0,9
153,03/01/2020,Google Ads,Campaign 595,Conversions,224.25,19.55,2.3115,0,0,65
154,03/01/2020,Google Ads,Campaign 596,Conversions,27.6,0,0,0,0,8
155,03/01/2020,Google Ads,Campaign 513,Conversions,9090.75,4152.65,141.312,94.8865966,3506.842805,2635
156,03/01/2020,Google Ads,Campaign 514,Video Views,1641.05,660.1,26.059,22.698378,976.605134,475
157,03/01/2020,Google Ads,Campaign 521,Conversions,4.6,0,0,0,0,1
158,03/01/2020,Google Ads,Campaign 522,Conversions,81.65,3.45,0.3105,0,0,23
159,03/01/2020,Google Ads,Campaign 523,Conversions,75.9,8.05,4.324,0,0,22
160,03/01/2020,Google Ads,Campaign 525,Video Views,1664.05,248.4,55.752,0,0,482
161,03/01/2020,Google Ads,Campaign 526,Conversions,104.65,1.15,0.299,0,0,30
162,03/01/2020,Google Ads,Campaign 599,Conversions,13.8,3.45,0.23,0,0,4
163,03/01/2020,Google Ads,Campaign 600,Video Views,36.8,5.75,0.2185,0,0,10
164,03/01/2020,Google Ads,Campaign 601,Conversions,6.9,1.15,0.023,0,0,2
165,03/01/2020,Google Ads,Campaign 602,Conversions,150.65,12.65,2.8175,0,0,43
166,03/01/2020,Google Ads,Campaign 603,Reach,16.1,2.3,0.3795,0,0,4
167,03/01/2020,Google Ads,Campaign 606,Video Views,56.35,2.3,0.5865,0,0,16
168,03/01/2020,Google Ads,Campaign 607,Reach,14.95,1.15,4.3585,0,0,4
169,03/01/2020,Google Ads,Campaign 604,Video Views,516.35,69,5.773,0,0,149
170,03/01/2020,Google Ads,Campaign 605,Conversions,1.15,0,0,0,0,0
171,03/01/2020,Google Ads,Campaign 608,Video Views,64.4,6.9,1.1155,0,0,18
172,03/01/2020,Google Ads,Campaign 609,Conversions,67.85,2.3,0.46,0,0,19
173,03/01/2020,Google Ads,Campaign 610,Reach,455.4,36.8,3.1395,0,0,132
174,03/01/2020,Google Ads,Campaign 611,Engagements,20.7,1.15,0.069,0,0,6
175,03/01/2020,Google Ads,Campaign 617,Conversions,178.25,10.35,1.702,0,0,51
176,03/01/2020,Google Ads,Campaign 618,Conversions,11.5,1.15,0.046,0,0,3
177,03/01/2020,Google Ads,Campaign 619,Video Views,606.05,63.25,3.3695,0,0,175
178,04/01/2020,Google Ads,Campaign 503,Reach,302.45,35.65,1.2995,0,0,87
179,04/01/2020,Google Ads,Campaign 504,Conversions,67.85,3.45,0.621,0,0,19
180,04/01/2020,Google Ads,Campaign 505,Video Views,113.85,14.95,0.3335,0,0,33
181,04/01/2020,Google Ads,Campaign 506,Conversions,48.3,1.15,0.0575,0,0,14
182,04/01/2020,Google Ads,Campaign 507,Conversions,9596.75,4787.45,97.474,131.7034522,5252.3177,2781
183,04/01/2020,Google Ads,Campaign 557,Conversions,156.4,17.25,1.5525,0,0,45
184,04/01/2020,Google Ads,Campaign 558,Conversions,246.1,21.85,1.1155,0,0,71
185,04/01/2020,Google Ads,Campaign 559,Conversions,17.25,2.3,0.8625,0,0,5
186,04/01/2020,Google Ads,Campaign 560,Conversions,46,2.3,0.1955,0,0,13
187,04/01/2020,Google Ads,Campaign 566,Conversions,29.9,4.6,1.6905,0,0,8
188,04/01/2020,Google Ads,Campaign 567,Conversions,65.55,3.45,0.4025,0,0,19
189,04/01/2020,Google Ads,Campaign 561,Conversions,90.85,1.15,0.115,0,0,26
190,04/01/2020,Google Ads,Campaign 568,Engagements,155.25,6.9,1.0465,0,0,45
191,04/01/2020,Google Ads,Campaign 562,Conversions,96.6,8.05,1.541,1.15,52.13890712,28
192,04/01/2020,Google Ads,Campaign 563,Conversions,156.4,3.45,0.92,0,0,45
193,04/01/2020,Google Ads,Campaign 564,Conversions,12.65,1.15,0.1955,0,0,3
194,04/01/2020,Google Ads,Campaign 565,Conversions,77.05,1.15,0.046,0,0,22
195,04/01/2020,Google Ads,Campaign 569,Reach,408.25,48.3,5.267,0.00832485,0.913094894,118
196,04/01/2020,Google Ads,Campaign 570,Conversions,46,4.6,0.483,0,0,13
197,04/01/2020,Google Ads,Campaign 571,Conversions,840.65,134.55,6.417,4.6,46.05522471,243
198,04/01/2020,Google Ads,Campaign 572,Conversions,40.25,2.3,0.1955,1.15,7.540079166,11
199,04/01/2020,Google Ads,Campaign 573,Conversions,132.25,11.5,0.2415,0,0,38
200,04/01/2020,Google Ads,Campaign 574,Conversions,155.25,6.9,1.886,0,0,45
201,04/01/2020,Google Ads,Campaign 579,Conversions,396.75,56.35,6.187,0,0,115
202,04/01/2020,Google Ads,Campaign 580,Reach,62.1,8.05,0.529,0,0,18
203,04/01/2020,Google Ads,Campaign 555,Conversions,232.3,41.4,5.0025,0,0,67
204,04/01/2020,Google Ads,Campaign 556,Conversions,118.45,17.25,0.874,0,0,34
205,04/01/2020,Google Ads,Campaign 581,Video Views,338.1,51.75,4.853,0,0,98
206,04/01/2020,Google Ads,Campaign 582,Reach,80.5,2.3,0.299,0,0,23
207,04/01/2020,Google Ads,Campaign 585,Engagements,11.5,0,0,0,0,3
208,04/01/2020,Google Ads,Campaign 586,Conversions,124.2,1.15,0.1265,0,0,36
209,04/01/2020,Google Ads,Campaign 587,Conversions,18.4,2.3,0.207,0,0,5
210,04/01/2020,Google Ads,Campaign 589,Conversions,17537.5,4896.7,722.361,46.6403959,1818.49395,5083
211,04/01/2020,Google Ads,Campaign 593,Video Views,42.55,4.6,0.943,0,0,12
212,04/01/2020,Google Ads,Campaign 594,Engagements,27.6,1.15,0.0805,0,0,8
213,04/01/2020,Google Ads,Campaign 595,Conversions,282.9,23,2.576,0,0,82
214,04/01/2020,Google Ads,Campaign 596,Conversions,42.55,3.45,0.1725,0,0,12
215,04/01/2020,Google Ads,Campaign 513,Conversions,7848.75,3635.15,141.0705,99.1486116,4062.745,2275
216,04/01/2020,Google Ads,Campaign 514,Video Views,1687.05,709.55,25.1965,45.09074905,1739.432248,489
217,04/01/2020,Google Ads,Campaign 521,Conversions,9.2,0,0,0,0,2
218,04/01/2020,Google Ads,Campaign 522,Conversions,102.35,6.9,0.782,0,0,29
219,04/01/2020,Google Ads,Campaign 523,Conversions,81.65,10.35,4.1745,0,0,23
220,04/01/2020,Google Ads,Campaign 525,Video Views,2457.55,374.9,92.6095,0,0,712
221,04/01/2020,Google Ads,Campaign 526,Conversions,111.55,3.45,0.667,0,0,32
222,04/01/2020,Google Ads,Campaign 599,Conversions,9.2,0,0,0,0,2
223,04/01/2020,Google Ads,Campaign 600,Video Views,35.65,3.45,0.161,0,0,10
224,04/01/2020,Google Ads,Campaign 601,Conversions,10.35,0,0,0,0,3
225,04/01/2020,Google Ads,Campaign 602,Conversions,171.35,12.65,4.784,0,0,49
226,04/01/2020,Google Ads,Campaign 603,Reach,9.2,1.15,0.368,0,0,2
227,04/01/2020,Google Ads,Campaign 606,Video Views,33.35,3.45,0.276,0,0,9
228,04/01/2020,Google Ads,Campaign 607,Reach,18.4,0,0,0,0,5
229,04/01/2020,Google Ads,Campaign 604,Video Views,592.25,81.65,7.705,0,0,171
230,04/01/2020,Google Ads,Campaign 605,Conversions,1.15,0,0,0,0,0
231,04/01/2020,Google Ads,Campaign 608,Video Views,82.8,8.05,0.805,0,0,24
232,04/01/2020,Google Ads,Campaign 609,Conversions,46,1.15,0.161,0,0,13
233,04/01/2020,Google Ads,Campaign 610,Reach,511.75,44.85,4.577,0,0,148
234,04/01/2020,Google Ads,Campaign 611,Engagements,12.65,1.15,0.0575,0,0,3
235,04/01/2020,Google Ads,Campaign 617,Conversions,142.6,10.35,2.691,0,0,41
236,04/01/2020,Google Ads,Campaign 618,Conversions,20.7,0,0,0,0,6
237,04/01/2020,Google Ads,Campaign 619,Video Views,629.05,64.4,2.415,0.7305375,24.32885851,182
238,05/01/2020,Google Ads,Campaign 503,Reach,271.4,32.2,1.242,0,0,78
239,05/01/2020,Google Ads,Campaign 504,Conversions,41.4,2.3,0.322,0,0,12
240,05/01/2020,Google Ads,Campaign 505,Video Views,136.85,26.45,2.9095,0.0895942,3.296503016,39
241,05/01/2020,Google Ads,Campaign 506,Conversions,49.45,2.3,0.069,0,0,14
242,05/01/2020,Google Ads,Campaign 507,Conversions,9287.4,4391.85,90.8615,128.0485613,5038.39457,2692
243,05/01/2020,Google Ads,Campaign 557,Conversions,112.7,17.25,1.6215,0,0,32
244,05/01/2020,Google Ads,Campaign 558,Conversions,226.55,29.9,1.4375,0,0,65
245,05/01/2020,Google Ads,Campaign 559,Conversions,19.55,0,0,0,0,5
246,05/01/2020,Google Ads,Campaign 560,Conversions,39.1,5.75,0.414,0,0,11
247,05/01/2020,Google Ads,Campaign 566,Conversions,28.75,1.15,0.1265,0,0,8
248,05/01/2020,Google Ads,Campaign 567,Conversions,36.8,2.3,0.069,0,0,10
249,05/01/2020,Google Ads,Campaign 561,Conversions,79.35,9.2,1.61,0,0,23
250,05/01/2020,Google Ads,Campaign 568,Engagements,121.9,8.05,1.1845,0,0,35
251,05/01/2020,Google Ads,Campaign 562,Conversions,111.55,6.9,1.15,0,0,32
252,05/01/2020,Google Ads,Campaign 563,Conversions,102.35,4.6,0.4715,0,0,29
253,05/01/2020,Google Ads,Campaign 564,Conversions,8.05,1.15,0.3335,0,0,2
254,05/01/2020,Google Ads,Campaign 565,Conversions,48.3,0,0,0,0,14
255,05/01/2020,Google Ads,Campaign 569,Reach,388.7,39.1,5.4395,1.15,45.70023592,112
256,05/01/2020,Google Ads,Campaign 570,Conversions,43.7,1.15,0.023,0,0,12
257,05/01/2020,Google Ads,Campaign 571,Conversions,794.65,102.35,5.888,0,0,230
258,05/01/2020,Google Ads,Campaign 572,Conversions,69,8.05,1.1615,0,0,20
259,05/01/2020,Google Ads,Campaign 573,Conversions,134.55,21.85,0.345,0,0,39
260,05/01/2020,Google Ads,Campaign 574,Conversions,109.25,3.45,0.8395,0,0,31
261,05/01/2020,Google Ads,Campaign 579,Conversions,391,57.5,8.0845,0.073623,3.904458673,113
262,05/01/2020,Google Ads,Campaign 580,Reach,65.55,3.45,0.276,0,0,19
263,05/01/2020,Google Ads,Campaign 555,Conversions,243.8,52.9,6.946,0,0,70
264,05/01/2020,Google Ads,Campaign 556,Conversions,131.1,16.1,1.2765,0,0,38
265,05/01/2020,Google Ads,Campaign 581,Video Views,334.65,36.8,3.381,0,0,97
266,05/01/2020,Google Ads,Campaign 582,Reach,119.6,16.1,1.679,0,0,34
267,05/01/2020,Google Ads,Campaign 585,Engagements,14.95,1.15,0.138,0,0,4
268,05/01/2020,Google Ads,Campaign 586,Conversions,98.9,2.3,0.1265,0,0,28
269,05/01/2020,Google Ads,Campaign 587,Conversions,19.55,0,0,0,0,5
270,05/01/2020,Google Ads,Campaign 589,Conversions,16855.55,4617.25,697.3945,58.4957413,2483.631839,4885
271,05/01/2020,Google Ads,Campaign 593,Video Views,50.6,1.15,0.23,0,0,14
272,05/01/2020,Google Ads,Campaign 594,Engagements,49.45,2.3,0.1035,0,0,14
273,05/01/2020,Google Ads,Campaign 595,Conversions,226.55,21.85,1.8975,0,0,65
274,05/01/2020,Google Ads,Campaign 596,Conversions,32.2,2.3,0.391,0,0,9
275,05/01/2020,Google Ads,Campaign 513,Conversions,8033.9,3547.75,141.2085,86.41178085,3821.634859,2328
276,05/01/2020,Google Ads,Campaign 514,Video Views,1191.4,506,24.334,22.6641126,819.6208508,345
277,05/01/2020,Google Ads,Campaign 521,Conversions,9.2,0,0,0,0,2
278,05/01/2020,Google Ads,Campaign 522,Conversions,64.4,8.05,0.4945,0,0,18
279,05/01/2020,Google Ads,Campaign 523,Conversions,85.1,13.8,4.163,0,0,24
280,05/01/2020,Google Ads,Campaign 525,Video Views,1759.5,320.85,67.9535,0,0,510
281,05/01/2020,Google Ads,Campaign 526,Conversions,136.85,3.45,0.828,0,0,39
282,05/01/2020,Google Ads,Campaign 599,Conversions,12.65,1.15,0.046,0,0,3
283,05/01/2020,Google Ads,Campaign 600,Video Views,21.85,4.6,0.1495,0,0,6
284,05/01/2020,Google Ads,Campaign 601,Conversions,5.75,0,0,0,0,1
285,05/01/2020,Google Ads,Campaign 602,Conversions,178.25,16.1,1.7595,1.15,42.91401322,51
286,05/01/2020,Google Ads,Campaign 603,Reach,13.8,1.15,0.276,0,0,4
287,05/01/2020,Google Ads,Campaign 606,Video Views,37.95,0,0,0,0,11
288,05/01/2020,Google Ads,Campaign 607,Reach,18.4,0,0,0,0,5
289,05/01/2020,Google Ads,Campaign 604,Video Views,592.25,89.7,7.0035,3.35305615,91.53042171,171
290,05/01/2020,Google Ads,Campaign 605,Conversions,2.3,0,0,0,0,0
291,05/01/2020,Google Ads,Campaign 608,Video Views,66.7,5.75,0.69,0,0,19
292,05/01/2020,Google Ads,Campaign 609,Conversions,55.2,5.75,0.7475,0,0,16
293,05/01/2020,Google Ads,Campaign 610,Reach,484.15,51.75,4.048,0,0,140
294,05/01/2020,Google Ads,Campaign 611,Engagements,17.25,2.3,0.1725,0,0,5
295,05/01/2020,Google Ads,Campaign 617,Conversions,138,4.6,0.8855,0,0,40
296,05/01/2020,Google Ads,Campaign 618,Conversions,21.85,6.9,1.081,0,0,6
297,05/01/2020,Google Ads,Campaign 619,Video Views,692.3,86.25,4.163,0,0,200
298,06/01/2020,Google Ads,Campaign 503,Reach,277.15,27.6,0.943,0,0,80
299,06/01/2020,Google Ads,Campaign 504,Conversions,39.1,2.3,0.115,0,0,11
300,06/01/2020,Google Ads,Campaign 505,Video Views,134.55,17.25,0.4025,0,0,39
301,06/01/2020,Google Ads,Campaign 506,Conversions,52.9,3.45,0.115,0,0,15
